Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"_impmrtl","1426","1","categorical","9","questionnaire language","imputed marital status","0"
"_impnph","1421","1","categorical","10","questionnaire language","imputed number of phones","0"
"_imprace","1419","2","categorical","9","questionnaire language","imputed race/ethnicity value","0"
"_incomg","2255","1","categorical","8","oral health","computed income categories","0"
"_llcpwt","2007","10","numeric","0","child demographic variables","final weight: land-line and cell-phone data","1"
"_llcpwt2","1949","10","numeric","0","child demographic variables","truncated design weight used in adult combined lan  line and cell phone raking","1"
"_ltasth1","2158","1","categorical","5","calculated variables","lifetime asthma calculated variable","0"
"_mam5021","2280","1","categorical","5","calculated variables","women respondents aged 50-74 who have had a mammogram in the past two years","0"
"_mam502y","2279","1","categorical","6","calculated variables","women respondents aged 50+ who have had a mammogram in the past two years","0"
"_mrace1","2223","2","categorical","12","oral health","calculated non-hispanic race including multiracial","0"
"_pneumo2","2275","1","categorical","6","calculated variables","pneumonia vaccination calculated variable","0"
"_prace1","2221","2","categorical","13","oral health","computed preferred race","0"
"_psu","35","10","numeric","0","record identification","primary sampling unit","1"
"_race","2228","1","categorical","12","oral health","computed race-ethnicity grouping","0"
"_race_g1","2231","1","categorical","8","oral health","computed race groups used for internet prevalence tables","0"
"_raceg21","2229","1","categorical","6","oral health","computed non-hispanic whites/all others race categories race/ethnic group codes used in post-stratification.","0"
"_racegr3","2230","1","categorical","9","oral health","computed five level race/ethnicity category.","0"
"_rawrake","1393","10","numeric","0","questionnaire language","raw weighting factor used in raking","1"
"_rfbing5","2262","1","categorical","5","calculated variables","binge drinking calculated variable","0"
"_rfblds2","2284","1","categorical","6","calculated variables","respondents aged 50+ who have had a blood stool test within the past two years","0"
"_rfblds3","2285","1","categorical","5","calculated variables","respondents aged 50-75 who have had a blood stool test within the past year","0"
"_rfbmi5","2252","1","categorical","5","oral health","overweight or obese calculated variable","0"
"_rfdrhv4","2271","1","categorical","5","calculated variables","heavy alcohol consumption  calculated variable","0"
"_rfdrmn4","2272","1","categorical","6","calculated variables","adult men heavy alcohol consumption calculated variable","0"
"_rfdrwm4","2273","1","categorical","6","calculated variables","adult women heavy alcohol consumption calculated variable","0"
"_rfhlth","2155","1","categorical","5","calculated variables","adults with good or better health","0"
"_rfmam2y","2278","1","categorical","6","calculated variables","women respondents aged 40+ who have had a mammogram in the past two years","0"
"_rfpap32","2281","1","categorical","6","calculated variables","women respondents aged 18+ who have had a pap test in the past three years","0"
"_rfpap33","2282","1","categorical","5","calculated variables","women respondents aged 21-65 who have had a pap test in the past three years","0"
"_rfpsa21","2283","1","categorical","6","calculated variables","male respondents aged 40+ who have had a psa test in the past 2 years","0"
"_rfseat2","2276","1","categorical","6","calculated variables","always or nearly always wear seat belts","0"
"_rfseat3","2277","1","categorical","6","calculated variables","always wear seat belts","0"
"_rfsigm2","2286","1","categorical","6","calculated variables","respondents aged 50 or older who have had a sigmoidoscopy or colonoscopy","0"
"_rfsmok3","2257","1","categorical","5","calculated variables","current smoking calculated variable","0"
"_smoker3","2256","1","categorical","7","calculated variables","computed smoking status","0"
"_state","1","2","categorical","56","record identification","state fips code","0"
"_strwt","1363","10","numeric","0","questionnaire language","stratum weight","1"
"_ststr","1357","6","numeric","0","questionnaire language","sample design stratification variable","1"
"_totinda","2157","1","categorical","5","calculated variables","leisure time physical activity calculated variable","0"
"_wt2rake","1403","10","numeric","0","questionnaire language","design weight used in raking","1"
"addepev2","103","1","categorical","7","chronic health conditions","ever told you had a depressive disorder","0"
"alcday5","193","3","integer","","alcohol consumption","days in past 30 had alcoholic beverage","0"
"asactlim","336","3","integer","","module 7: adult asthma history","activities limited due to asthma during past 12 months","0"
"asattack","329","1","categorical","7","module 7: adult asthma history","asthma during past 12 months","0"
"asbiadvc","320","1","categorical","7","module 4: health care access","offered advice about what level of drinking is harmful or risky?","0"
"asbialch","317","1","categorical","7","module 4: health care access","asked during checkup if you drink alchohol","0"
"asbibing","319","1","categorical","7","module 4: health care access","asked whether you drank [5 for men /4 for women] or more alcoholic drinks on an occasion?","0"
"asbidrnk","318","1","categorical","7","module 4: health care access","asked in person or by form how much you drink?","0"
"asbirduc","321","1","categorical","7","module 4: health care access","were you advised to reduce or quit your drinking?","0"
"asdrvist","332","2","integer","","module 7: adult asthma history","urgent asthma treatment during past 12 months","0"
"aservist","330","2","integer","","module 7: adult asthma history","emergency asthma care during past 12 months","0"
"asinhalr","342","1","categorical","12","module 7: adult asthma history","times used asthma inhaler during an attack in past 30 days","0"
"asnoslep","340","1","categorical","11","module 7: adult asthma history","sleep difficulty due to asthma during past 30 days","0"
"asrchkup","334","2","integer","","module 7: adult asthma history","routine asthma care during past 12 months","0"
"asthma3","97","1","categorical","7","chronic health conditions","ever told had asthma","0"
"asthmage","327","2","integer","","module 7: adult asthma history","age at asthma diagnosis","0"
"asthmed3","341","1","categorical","9","module 7: adult asthma history","days used prescribed preventative asthma med in past 30 days","0"
"asthnow","98","1","categorical","7","chronic health conditions","still have asthma","0"
"asymptom","339","1","categorical","11","module 7: adult asthma history","asthma symptoms during past 30 days","0"
"avedrnk2","196","2","integer","","alcohol consumption","avg alcoholic drinks per day in past 30","0"
"bldstool","231","1","categorical","7","colorectal cancer screening","ever had blood stool test using home kit","0"
"bldsugar","258","3","integer","","module 2: diabetes","how often check blood for glucose","0"
"blind","182","1","categorical","7","oral health","blind or difficulty seeing","0"
"cadult","634","1","categorical","6","cell phone introduction","are you 18 years of age or older?","0"
"carercvd","315","1","categorical","9","module 4: health care access","satisfied with care received","0"
"casthdx2","626","1","categorical","7","module 18: childhood asthma prevalence","hlth pro ever said child has asthma","0"
"casthno2","627","1","categorical","7","module 18: childhood asthma prevalence","child still have asthma?","0"
"cclghous","636","1","categorical","5","cell phone introduction","do you live in college housing?","0"
"cellfon2","633","1","categorical","5","cell phone introduction","is this a cellular telephone?","0"
"chccopd1","101","1","categorical","7","chronic health conditions","(ever told) you have (copd) chronic obstructive pulmonary disease, emphysema or chronic bronchitis?","0"
"chckidny","104","1","categorical","7","chronic health conditions","(ever told) you have kidney disease?","0"
"chcocncr","100","1","categorical","7","chronic health conditions","(ever told) you had any other types of cancer?","0"
"chcscncr","99","1","categorical","7","chronic health conditions","(ever told) you had skin cancer?","0"
"checkup1","90","1","categorical","10","health care access","length of time since last routine checkup","0"
"children","148","2","integer","","oral health","number of children in household","0"
"chkhemo3","266","2","integer","","module 2: diabetes","times checked for glycosylated hemoglobin","0"
"cncrage","352","2","integer","","module 12: cancer survivorship","age told had cancer","0"
"cncrdiff","351","1","categorical","8","module 12: cancer survivorship","how many types of cancer?","0"
"cncrtyp1","354","2","categorical","35","module 12: cancer survivorship","type of cancer","0"
"colghous","64","1","categorical","5","record identification","do you live in college housing?","0"
"cpdemo1","172","1","categorical","7","oral health","do you have a cell phone for personal use?","0"
"csrvclin","364","1","categorical","7","module 12: cancer survivorship","participate in clinical trial as part of cancer treatment?","0"
"csrvctl1","366","1","categorical","9","module 12: cancer survivorship","is pain under control?","0"
"csrvdein","363","1","categorical","7","module 12: cancer survivorship","ever denied insurance coverage because of your cancer?","0"
"csrvdoc1","357","2","categorical","15","module 12: cancer survivorship","what type of doctor provides majority of your care","0"
"csrvinsr","362","1","categorical","7","module 12: cancer survivorship","did health insurance pay for all of your cancer treatment","0"
"csrvinst","361","1","categorical","7","module 12: cancer survivorship","instructions written or printed","0"
"csrvpain","365","1","categorical","7","module 12: cancer survivorship","currently have physical pain from cancer or treatment?","0"
"csrvrtrn","360","1","categorical","7","module 12: cancer survivorship","ever receive instructions from a doctor for follow-up check-ups","0"
"csrvsum","359","1","categorical","7","module 12: cancer survivorship","did you receive a summary of cancer treatments received","0"
"csrvtrt1","356","1","categorical","9","module 12: cancer survivorship","currently receiving treatment for cancer","0"
"cstate","637","1","categorical","5","cell phone introduction","are you a resident of [state]?","0"
"ctelenum","62","1","categorical","5","record identification","correct telephone number?","0"
"ctelnum1","632","1","categorical","5","cell phone introduction","correct phone number?","0"
"cvdcrhd4","95","1","categorical","7","chronic health conditions","ever diagnosed with angina or coronary heart disease","0"
"cvdinfr4","94","1","categorical","7","chronic health conditions","ever diagnosed with heart attack","0"
"cvdstrk3","96","1","categorical","7","chronic health conditions","ever diagnosed with a stroke","0"
"decide","183","1","categorical","7","oral health","difficulty concentrating or remembering","0"
"delaymed","284","1","categorical","12","module 4: health care access","delayed getting medical care","0"
"diabage2","106","2","integer","","chronic health conditions","age when told diabetic","0"
"diabedu","272","1","categorical","7","module 2: diabetes","ever taken class in managing diabetes","0"
"diabete3","105","1","categorical","9","chronic health conditions","(ever told) you have diabetes","0"
"diabeye","271","1","categorical","7","module 2: diabetes","ever told diabetes has affected eyes","0"
"diffalon","186","1","categorical","7","oral health","difficulty doing errands alone","0"
"diffdres","185","1","categorical","7","oral health","difficulty dressing or bathing","0"
"diffwalk","184","1","categorical","7","oral health","difficulty walking or climbing stairs","0"
"dispcode","31","4","numeric","0","record identification","final disposition","1"
"dlyother","285","25","numeric","0","module 4: health care access","delayed getting medical care other response","1"
"doctdiab","264","2","integer","","module 2: diabetes","times seen health professional for diabetes","0"
"dradvise","326","1","categorical","7","module 6: sodium or salt-related behavior","doctor advised reduced sodium/salt intake","0"
"drnk3ge5","198","2","integer","","alcohol consumption","binge drinking","0"
"drnkany5","2258","1","categorical","6","calculated variables","drink any alcoholic beverages in past 30 days","0"
"drnkdri2","216","2","integer","","drinking and driving","did you drive after having too much to drink in the past 30 days?","0"
"drocdy3_","2259","3","integer","","calculated variables","computed drink-occasions-per-day","0"
"drvisits","312","2","integer","","module 4: health care access","doctor visits past 12 months","0"
"educa","150","1","categorical","10","oral health","education level","0"
"employ1","151","1","categorical","12","oral health","employment status","0"
"emtsuprt","628","1","categorical","10","module 19: emotional support and life satisfaction","how often get emotional support needed","0"
"exerany2","91","1","categorical","7","exercise","exercise in past 30 days","0"
"eyeexam","270","1","categorical","10","module 2: diabetes","last eye exam where pupils were dilated","0"
"fall12mn","211","2","integer","","falls","had fall past twelve months","0"
"fallinj2","213","2","integer","","falls","injured in fall","0"
"feetchk","268","2","integer","","module 2: diabetes","times feet check for sores/irritations","0"
"feetchk2","261","3","integer","","module 2: diabetes","how often check feet for sores or irritations","0"
"flshtmy2","203","6","integer","","immunization","when received most recent seasonal flu shot/spray","0"
"flushot6","202","1","categorical","7","immunization","adult flu shot/spray past 12 mos","0"
"fmonth","16","2","categorical","14","record identification","file month","0"
"genhlth","80","1","categorical","10","health status","general health","0"
"hadhyst2","224","1","categorical","7","breast and cervical cancer screening","had hysterectomy","0"
"hadmam","218","1","categorical","7","breast and cervical cancer screening","have you ever had a mammogram","0"
"hadpap2","222","1","categorical","7","breast and cervical cancer screening","ever had a pap test","0"
"hadsgco1","234","1","categorical","7","colorectal cancer screening","was last test a sigmoidoscopy or colonoscopy","0"
"hadsigm3","233","1","categorical","7","colorectal cancer screening","ever had sigmoidoscopy/colonoscopy","0"
"havarth3","102","1","categorical","7","chronic health conditions","told have arthritis","0"
"height3","158","4","integer","","oral health","reported height in feet and inches","0"
"hhadult","641","2","integer","","cell phone introduction","number of adults in household","0"
"hivtst6","236","1","categorical","7","hiv/aids","ever tested hiv","0"
"hivtstd3","237","6","integer","","hiv/aids","month and year of last hiv test","0"
"hlthcvr1","282","2","categorical","13","module 4: health care access","primary health insurance coverage","0"
"hlthpln1","87","1","categorical","7","health care access","have any health care coverage","0"
"howlong","219","1","categorical","10","breast and cervical cancer screening","how long since last mammogram","0"
"hplsttst","347","1","categorical","10","module 10: adult human papilloma virus (hpv) - testing","how long since your last hpv test?","0"
"hpvadsht","349","2","integer","","module 11: adult human papilloma virus (hpv) - vaccination","number of hpv shots received","0"
"hpvadvc2","348","1","categorical","8","module 11: adult human papilloma virus (hpv) - vaccination","ever had the hpv vaccination?","0"
"hpvtest","346","1","categorical","7","module 10: adult human papilloma virus (hpv) - testing","have you ever had an hpv test?","0"
"htin4","2236","3","integer","","oral health","computed height in inches","0"
"htm4","2239","3","integer","","oral health","computed height in meters","0"
"idate","18","8","numeric","0","record identification","interview date","1"
"iday","20","2","numeric","0","record identification","interview day","1"
"imfvplac","343","2","categorical","16","module 8: influenza","where did you get your last flu shot/vaccine?","0"
"imonth","18","2","categorical","12","record identification","interview month","0"
"income2","152","2","categorical","13","oral health","income level","0"
"insulin","257","1","categorical","6","module 2: diabetes","now taking insulin","0"
"internet","176","1","categorical","7","oral health","internet use in the past 30 days?","0"
"iyear","22","4","numeric","0","record identification","interview year","1"
"ladult","67","1","numeric","0","record identification","are you 18 years of age or older?","1"
"landline","640","1","categorical","7","cell phone introduction","do you also have a landline telephone?","0"
"lastden3","108","1","categorical","10","oral health","last visited dentist or dental clinic","0"
"lastpap2","223","1","categorical","10","breast and cervical cancer screening","how long since last pap test","0"
"lastsig3","235","1","categorical","11","colorectal cancer screening","time since last sigmoidoscopy/colonoscopy","0"
"lastsmk2","190","2","categorical","13","tobacco use","interval since last smoked","0"
"lengexam","221","1","categorical","10","breast and cervical cancer screening","how long since last breast physical exam","0"
"longwtch","323","3","integer","","module 6: sodium or salt-related behavior","how long watching salt/sodium intake","0"
"lsatisfy","629","1","categorical","9","module 19: emotional support and life satisfaction","satisfaction with life","0"
"lstblds3","232","1","categorical","10","colorectal cancer screening","time since last blood stool test","0"
"lstcovrg","311","1","categorical","10","module 4: health care access","time since last had health care coverage","0"
"marital","147","1","categorical","10","oral health","marital status","0"
"maxdrnks","200","2","integer","","alcohol consumption","most drinks on single occasion past 30 days","0"
"medbill1","316","1","categorical","7","module 4: health care access","currently have health care bills","0"
"medcost","89","1","categorical","7","health care access","could not see dr. because of cost","0"
"medicare","281","1","categorical","7","module 4: health care access","do you have medicare?","0"
"medscost","314","1","categorical","8","module 4: health care access","could not get medicine due to cost","0"
"menthlth","83","2","integer","","healthy days  health related quality of life","number of days mental health not good","0"
"mscode","1356","1","categorical","8","questionnaire language","metropolitan status code","0"
"nocov121","310","1","categorical","7","module 4: health care access","without health care coverage past 12 months","0"
"numadult","68","2","numeric","0","record identification","number of adults in household","1"
"numhhol2","170","1","categorical","7","oral health","household telephones","0"
"nummen","70","2","numeric","0","record identification","number of adult men in household","1"
"numphon2","171","1","categorical","11","oral health","residential phones","0"
"numwomen","72","2","numeric","0","record identification","number of adult women in household","1"
"painact2","273","2","integer","","module 3: healthy days (symptoms)","how many days hard to do usual activities in past 30 days","0"
"pcpsaad2","225","1","categorical","7","prostate cancer screening","has a health professional ever talked with you about the advantages of the psa test?","0"
"pcpsadi1","226","1","categorical","7","prostate cancer screening","has a health professional ever talked with you about the disadvantages of the psa test?","0"
"pcpsare1","227","1","categorical","7","prostate cancer screening","has a doctor ever recommended that you have a psa test?","0"
"pcpsars1","230","1","categorical","10","prostate cancer screening","what was the main reason you had this psa test?","0"
"pdiabtst","255","1","categorical","7","module 1: pre-diabetes","had a test for high blood sugar in past three years","0"
"persdoc2","88","1","categorical","8","health care access","multiple health care professionals","0"
"physhlth","81","2","integer","","healthy days  health related quality of life","number of days physical health not good","0"
"pneuvac3","209","1","categorical","7","immunization","pneumonia shot ever","0"
"poorhlth","85","2","integer","","healthy days  health related quality of life","poor physical or mental health","0"
"prediab1","256","1","categorical","8","module 1: pre-diabetes","ever been told you have pre-diabetes or borderline diabetes","0"
"pregnant","179","1","categorical","7","oral health","pregnancy status","0"
"profexam","220","1","categorical","7","breast and cervical cancer screening","ever had breast physical exam by doctor","0"
"psatest1","228","1","categorical","7","prostate cancer screening","ever had psa test","0"
"psatime","229","1","categorical","10","prostate cancer screening","time since last psa test","0"
"pvtresd1","63","1","categorical","6","record identification","private residence?","0"
"pvtresd2","635","1","categorical","5","cell phone introduction","do you live in a private residence?","0"
"qlactlm2","180","1","categorical","7","oral health","activity limitation due to health problems","0"
"qlhlth2","279","2","integer","","module 3: healthy days (symptoms)","how many days full of energy in past 30 days","0"
"qlmentl2","275","2","integer","","module 3: healthy days (symptoms)","how many days depressed in past 30 days","0"
"qlstres2","277","2","integer","","module 3: healthy days (symptoms)","how many days felt anxious in past 30 days","0"
"qstlang","647","2","integer","","questionnaire language","language identifier","0"
"qstver","645","2","numeric","0","questionnaire version","questionnaire version identifier","1"
"rchisla1","591","4","numeric","0","module 17: random child selection","ethnicity of child","1"
"rcsbirth","584","6","numeric","0","module 17: random child selection","birth date of child","1"
"rcsbrac1","623","2","categorical","23","module 17: random child selection","race of child","0"
"rcsgendr","590","1","categorical","6","module 17: random child selection","gender of child","0"
"rcsrace1","595","28","numeric","0","module 17: random child selection","race of child (multiple possible)","1"
"rcsrltn2","625","1","categorical","11","module 17: random child selection","relationship to child","0"
"renthom1","177","1","categorical","8","oral health","own or rent home","0"
"rmvteth3","109","1","categorical","9","oral health","number of permanent teeth removed","0"
"rratwrk2","369","1","categorical","10","module 13: reactions to race","how do you feel you were treated at work compared to people of other races in past 12 months?","0"
"rrclass2","367","1","categorical","12","module 13: reactions to race","how do other people usually classify you in this country?","0"
"rrcognt2","368","1","categorical","12","module 13: reactions to race","how often do you think about your race?","0"
"rremtsm2","372","1","categorical","7","module 13: reactions to race","times past 30 days felt emotionally upset because of treatment due to your race","0"
"rrhcare3","370","1","categorical","11","module 13: reactions to race","when seeking health care past 12 months, was experience worse, same, better than people of other races?","0"
"rrphysm2","371","1","categorical","7","module 13: reactions to race","times past 30 days felt physical symptoms because of treatment due to your race","0"
"scntlpad","578","1","categorical","9","module 15: social context","how were you generally paid for the work you did","0"
"scntlwk1","579","2","integer","","module 15: social context","how many hours per week did you work","0"
"scntmel1","574","1","categorical","11","module 15: social context","times past 12 months worried/stressed about having enough money to buy nutritious meals?","0"
"scntmny1","573","1","categorical","11","module 15: social context","times past 12 months worried/stressed about having enough money to pay your rent/mortgage?","0"
"scntpaid","575","1","categorical","9","module 15: social context","how are you generally paid for the work you do","0"
"scntvot1","581","1","categorical","8","module 15: social context","did you vote in the last presidential election?","0"
"scntwrk1","576","2","integer","","module 15: social context","how many hours per week do you work","0"
"seatbelt","215","1","categorical","11","seatbelt use","how often use seatbelts in car?","0"
"seqno","35","10","numeric","0","record identification","annual sequence number","1"
"sex","178","1","categorical","5","oral health","respondents sex","0"
"shingle2","210","1","categorical","7","immunization","have you ever had the shingles or zoster vaccine?","0"
"sleptim1","92","2","integer","","inadequate sleep","how much time do you sleep","0"
"smokday2","188","1","categorical","8","tobacco use","frequency of days now smoking","0"
"smoke100","187","1","categorical","7","tobacco use","smoked at least 100 cigarettes","0"
"stateres","65","1","numeric","0","record identification","resident of state","1"
"stopsmk2","189","1","categorical","7","tobacco use","stopped smoking in past 12 months","0"
"sxorient","582","1","categorical","9","module 16: sexual orientation and gender identity","sexual orientation or gender identity","0"
"tetanus","345","1","categorical","9","module 9: tetanus diphtheria (tdap) (adults)","received tetanus shot since 2005?","0"
"trnsgndr","583","1","categorical","9","module 16: sexual orientation and gender identity","do you consider yourself to be transgender?","0"
"useequip","181","1","categorical","7","oral health","health problems requiring special equipment","0"
"usenow3","192","1","categorical","8","tobacco use","use of smokeless tobacco products","0"
"veteran3","146","1","categorical","7","oral health","are you a veteran","0"
"weight2","154","4","integer","","oral health","reported weight in pounds","0"
"whrtst10","243","2","categorical","14","hiv/aids","location of last hiv test","0"
"wtchsalt","322","1","categorical","7","module 6: sodium or salt-related behavior","watching sodium or salt intake","0"
"wtkg3","2242","5","numeric","0","oral health","computed weight in kilograms","1"
