Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"arthexer","370","1","categorical","7","module 10: arthritis management","dr. suggest use of physical activity or exercise for arthritis or joint symptoms","0"
"arthsocl","249","1","categorical","8","arthritis burden","social activities limited because of joint symptoms","0"
"arthwgt","369","1","categorical","7","module 10: arthritis management","dr. suggest lose weight for arthritis or joint symptoms","0"
"arttoday","368","1","categorical","9","module 10: arthritis management","what can you do because of arthritis or joint symptoms","0"
"asactlim","354","3","integer","","module 8: adult asthma history","activities limited due to asthma during past 12 months","0"
"asattack","347","1","categorical","7","module 8: adult asthma history","asthma during past 12 months","0"
"asdrvist","350","2","integer","","module 8: adult asthma history","urgent asthma treatment during past 12 months","0"
"aservist","348","2","integer","","module 8: adult asthma history","emergency asthma care during past 12 months","0"
"asinhalr","360","1","categorical","12","module 8: adult asthma history","times used asthma inhaler during an attack in past 30 days","0"
"asnoslep","358","1","categorical","11","module 8: adult asthma history","sleep difficulty due to asthma during past 30 days","0"
"aspunsaf","364","1","categorical","8","module 9: cardiovascular health","health makes taking aspirin unsafe","0"
"asrchkup","352","2","integer","","module 8: adult asthma history","routine asthma care during past 12 months","0"
"asthma3","109","1","categorical","7","chronic health conditions","ever told had asthma","0"
"asthmage","345","2","integer","","module 8: adult asthma history","age at asthma diagnosis","0"
"asthmed3","359","1","categorical","9","module 8: adult asthma history","days used prescribed preventative asthma med in past 30 days","0"
"asthnow","110","1","categorical","7","chronic health conditions","still have asthma","0"
"asymptom","357","1","categorical","11","module 8: adult asthma history","asthma symptoms during past 30 days","0"
"avedrnk2","203","2","integer","","alcohol consumption","avg alcoholic drinks per day in past 30","0"
"beanday_","2018","4","numeric","0","calculated variables","computed bean intake in times per day","1"
"bldstool","386","1","categorical","7","module 16: colorectal cancer screening","ever had blood stool test using home kit","0"
"bldsugar","290","3","integer","","module 2: diabetes","how often check blood for glucose","0"
"blind","189","1","categorical","7","demographics","blind or difficulty seeing","0"
"bloodcho","103","1","categorical","7","cholesterol awareness","ever had blood cholesterol checked","0"
"bphigh4","101","1","categorical","9","hypertension awareness","ever told blood pressure high","0"
"bpmeds","102","1","categorical","7","hypertension awareness","currently taking blood pressure medication","0"
"cadult","77","1","categorical","6","record identification","are you 18 years of age or older?","0"
"caregiv1","313","1","categorical","8","module 4: caregiver","provided regular care for family or friend","0"
"casthdx2","656","1","categorical","7","module 23: childhood asthma prevalence","hlth pro ever said child has asthma","0"
"casthno2","657","1","categorical","7","module 23: childhood asthma prevalence","child still have asthma?","0"
"cclghous","79","1","categorical","5","record identification","do you live in college housing?","0"
"cdassist","336","1","categorical","10","module 6: cognitive decline","need assistance with day-to_day activities due to confusion or memory loss","0"
"cddiscus","339","1","categorical","7","module 6: cognitive decline","have you discussed your confusion or memory loss with a health care professional?","0"
"cdhelp","337","1","categorical","10","module 6: cognitive decline","when you need help with day-to-day activities are you able to get it","0"
"cdhouse","335","1","categorical","10","module 6: cognitive decline","given up day-to-day chores due to confusion or memory loss","0"
"cdsocial","338","1","categorical","10","module 6: cognitive decline","does confusion or memory loss interfere with work or social activities","0"
"cellfon2","76","1","categorical","5","record identification","is this a cellular telephone?","0"
"cellfon3","67","1","categorical","5","record identification","cellular telephone","0"
"chccopd1","113","1","categorical","7","chronic health conditions","(ever told) you have (copd) chronic obstructive pulmonary disease, emphysema or chronic bronchitis?","0"
"chckidny","116","1","categorical","7","chronic health conditions","(ever told) you have kidney disease?","0"
"chcocncr","112","1","categorical","7","chronic health conditions","(ever told) you had any other types of cancer?","0"
"chcscncr","111","1","categorical","7","chronic health conditions","(ever told) you had skin cancer?","0"
"checkup1","100","1","categorical","10","health care access","length of time since last routine checkup","0"
"children","173","2","integer","","demographics","number of children in household","0"
"chkhemo3","298","2","integer","","module 2: diabetes","times checked for glycosylated hemoglobin","0"
"cholchk","104","1","categorical","9","cholesterol awareness","how long since cholesterol checked","0"
"cimemlos","334","1","categorical","7","module 6: cognitive decline","have you experienced confusion or memory loss that is happening more often or is getting worse?","0"
"colghous","65","1","categorical","5","record identification","do you live in college housing?","0"
"cpdemo1","170","1","categorical","7","demographics","do you have a cell phone for personal use?","0"
"crgvexpt","323","1","categorical","7","module 4: caregiver","do you expect to have a relative you will need to provide care for?","0"
"crgvhous","321","1","categorical","7","module 4: caregiver","managed household tasks","0"
"crgvhrs1","317","1","categorical","9","module 4: caregiver","how many hours do you provide care for person?","0"
"crgvlng1","316","1","categorical","10","module 4: caregiver","how long provided care for person.","0"
"crgvmst2","322","1","categorical","11","module 4: caregiver","which support do you most need that you are not getting?","0"
"crgvpers","320","1","categorical","7","module 4: caregiver","managed personal care","0"
"crgvprb1","318","2","categorical","18","module 4: caregiver","what is the major health problem, illness, disability for care for person?","0"
"crgvrel1","314","2","categorical","20","module 4: caregiver","relationship of person to whom you are giving care?","0"
"cstate","80","1","categorical","5","record identification","are you a resident of [state]?","0"
"ctelenum","63","1","categorical","5","record identification","correct telephone number?","0"
"ctelnum1","75","1","categorical","5","record identification","correct phone number?","0"
"cvdasprn","363","1","categorical","7","module 9: cardiovascular health","take aspirin daily or every other day","0"
"cvdcrhd4","107","1","categorical","7","chronic health conditions","ever diagnosed with angina or coronary heart disease","0"
"cvdinfr4","106","1","categorical","7","chronic health conditions","ever diagnosed with heart attack","0"
"cvdstrk3","108","1","categorical","7","chronic health conditions","ever diagnosed with a stroke","0"
"decide","190","1","categorical","7","demographics","difficulty concentrating or remembering","0"
"diabage2","118","2","integer","","chronic health conditions","age when told diabetic","0"
"diabedu","304","1","categorical","7","module 2: diabetes","ever taken class in managing diabetes","0"
"diabete3","117","1","categorical","9","chronic health conditions","(ever told) you have diabetes","0"
"diabeye","303","1","categorical","7","module 2: diabetes","ever told diabetes has affected eyes","0"
"diffalon","193","1","categorical","7","demographics","difficulty doing errands alone","0"
"diffdres","192","1","categorical","7","demographics","difficulty dressing or bathing","0"
"diffwalk","191","1","categorical","7","demographics","difficulty walking or climbing stairs","0"
"dispcode","32","4","numeric","0","record identification","final disposition","1"
"doctdiab","296","2","integer","","module 2: diabetes","times seen health professional for diabetes","0"
"dradvise","344","1","categorical","7","module 7: sodium or salt-related behavior","doctor advised reduced sodium/salt intake","0"
"drnk3ge5","205","2","integer","","alcohol consumption","binge drinking","0"
"drnkany5","1999","1","categorical","6","calculated variables","drink any alcoholic beverages in past 30 days","0"
"drocdy3_","2000","3","integer","","calculated variables","computed drink-occasions-per-day","0"
"educa","158","1","categorical","10","demographics","education level","0"
"employ1","172","1","categorical","12","demographics","employment status","0"
"emtsuprt","658","1","categorical","10","module 24: emotional support and life satisfaction","how often get emotional support needed","0"
"exactot1","841","20","numeric","0","questionnaire language","first activity other response description","1"
"exactot2","861","20","numeric","0","questionnaire language","second activity other response description","1"
"exerany2","227","1","categorical","7","exercise (physical activity)","exercise in past 30 days","0"
"exerhmm1","233","3","integer","","exercise (physical activity)","minutes or hours walking, running, jogging, or swimming","0"
"exerhmm2","241","3","integer","","exercise (physical activity)","minutes or hours walking, running, jogging, or swimming","0"
"exeroft1","230","3","integer","","exercise (physical activity)","how many times walking, running, jogging, or swimming","0"
"exeroft2","238","3","integer","","exercise (physical activity)","how many times walking, running, jogging, or swimming","0"
"exract11","228","2","categorical","80","exercise (physical activity)","type of physical activity","0"
"exract21","236","2","categorical","81","exercise (physical activity)","other type of physical activity giving most exercise during past month","0"
"eyeexam","302","1","categorical","10","module 2: diabetes","last eye exam where pupils were dilated","0"
"fc60_","2070","5","numeric","0","calculated variables","estimated functional capacity","1"
"feetchk","300","2","integer","","module 2: diabetes","times feet check for sores/irritations","0"
"feetchk2","293","3","integer","","module 2: diabetes","how often check feet for sores or irritations","0"
"flshtmy2","254","6","integer","","immunization","when received most recent seasonal flu shot/spray","0"
"flushot6","253","1","categorical","7","immunization","adult flu shot/spray past 12 mos","0"
"fmonth","17","2","categorical","14","record identification","file month","0"
"fruit1","212","3","integer","","fruits & vegetables","how many times did you eat fruit?","0"
"fruitju1","209","3","integer","","fruits & vegetables","how many times did you drink 100 percent pure fruit juices?","0"
"frutda1_","2014","4","numeric","0","calculated variables","computed fruit intake in times per day","1"
"ftjuda1_","2010","4","numeric","0","calculated variables","computed fruit juice intake in times per day","1"
"fvbeans","215","3","integer","","fruits & vegetables","how many times did you eat beans or lentils?","0"
"fvgreen","218","3","integer","","fruits & vegetables","how many times did you eat dark green vegetables?","0"
"fvorang","221","3","integer","","fruits & vegetables","how many times did you eat orange-colored vegetables?","0"
"genhlth","90","1","categorical","10","health status","general health","0"
"grenday_","2022","4","numeric","0","calculated variables","computed dark green vegetable intake in times per day","1"
"hadhyst2","383","1","categorical","7","module 14: breast and cervical cancer screening","had hysterectomy","0"
"hadmam","377","1","categorical","7","module 14: breast and cervical cancer screening","have you ever had a mammogram","0"
"hadpap2","379","1","categorical","7","module 14: breast and cervical cancer screening","ever had a pap test","0"
"hadsgco1","389","1","categorical","7","module 16: colorectal cancer screening","was last test a sigmoidoscopy or colonoscopy","0"
"hadsigm3","388","1","categorical","7","module 16: colorectal cancer screening","ever had sigmoidoscopy/colonoscopy","0"
"harehab1","361","1","categorical","7","module 9: cardiovascular health","outpatient rehab after heart attack hosp stay","0"
"havarth3","114","1","categorical","7","chronic health conditions","told have arthritis","0"
"height3","182","4","integer","","demographics","reported height in feet and inches","0"
"hhadult","84","2","integer","","record identification","number of adults in household","0"
"hivtst6","263","1","categorical","7","hiv/aids","ever tested hiv","0"
"hivtstd3","264","6","integer","","hiv/aids","month and year of last hiv test","0"
"hlthpln1","97","1","categorical","7","health care access","have any health care coverage","0"
"howlong","378","1","categorical","10","module 14: breast and cervical cancer screening","how long since last mammogram","0"
"hplsttst","382","1","categorical","10","module 14: breast and cervical cancer screening","how long since your last hpv test?","0"
"hpvadsht","374","2","integer","","module 12: adult human papilloma virus (hpv) - vaccination","number of hpv shots received","0"
"hpvadvc2","373","1","categorical","8","module 12: adult human papilloma virus (hpv) - vaccination","ever had the hpv vaccination?","0"
"hpvtest","381","1","categorical","7","module 14: breast and cervical cancer screening","have you ever had an hpv test?","0"
"htin4","1977","3","integer","","calculated variables","computed height in inches","0"
"htm4","1980","3","integer","","calculated variables","computed height in meters","0"
"idate","19","8","numeric","0","record identification","interview date","1"
"iday","21","2","numeric","0","record identification","interview day","1"
"imfvplac","260","2","categorical","16","immunization","where did you get your last flu shot/vaccine?","0"
"imonth","19","2","categorical","12","record identification","interview month","0"
"income2","175","2","categorical","13","demographics","income level","0"
"insulin","289","1","categorical","6","module 2: diabetes","now taking insulin","0"
"internet","177","1","categorical","7","demographics","internet use in the past 30 days?","0"
"iyear","23","4","numeric","0","record identification","interview year","1"
"joinpain","250","2","integer","","arthritis burden","how bad was joint pain","0"
"ladult","68","1","numeric","0","record identification","are you 18 years of age or older?","1"
"landline","83","1","categorical","7","record identification","do you also have a landline telephone?","0"
"lastpap2","380","1","categorical","10","module 14: breast and cervical cancer screening","how long since last pap test","0"
"lastsig3","390","1","categorical","11","module 16: colorectal cancer screening","time since last sigmoidoscopy/colonoscopy","0"
"lastsmk2","197","2","categorical","13","tobacco use","interval since last smoked","0"
"lengexam","385","1","categorical","10","module 15: clinical breast exam for breast cancer screening","how long since last breast physical exam","0"
"lmtjoin3","247","1","categorical","7","arthritis burden","limited because of joint symptoms","0"
"longwtch","341","3","integer","","module 7: sodium or salt-related behavior","how long watching salt/sodium intake","0"
"lsatisfy","659","1","categorical","9","module 24: emotional support and life satisfaction","satisfaction with life","0"
"lstblds3","387","1","categorical","10","module 16: colorectal cancer screening","time since last blood stool test","0"
"marital","157","1","categorical","10","demographics","marital status","0"
"maxdrnks","207","2","integer","","alcohol consumption","most drinks on single occasion past 30 days","0"
"maxvo2_","2065","5","numeric","0","calculated variables","estimated age-gender specific maximum oxygen consumption","1"
"medcost","99","1","categorical","7","health care access","could not see dr. because of cost","0"
"menthlth","93","2","integer","","healthy days  health related quality of life","number of days mental health not good","0"
"metvl11_","2059","3","numeric","0","calculated variables","activity met value for first activity","1"
"metvl21_","2062","3","numeric","0","calculated variables","activity met value for second activity","1"
"mistmnt","676","1","categorical","7","module 25: anxiety and depression","receiving medicine or treatment from health pro for emotional problem","0"
"mscode","1406","1","categorical","8","questionnaire language","metropolitan status code","0"
"numadult","69","2","numeric","0","record identification","number of adults in household","1"
"numhhol2","168","1","categorical","7","demographics","household telephones","0"
"nummen","71","2","numeric","0","record identification","number of adult men in household","1"
"numphon2","169","1","categorical","11","demographics","residential phones","0"
"numwomen","73","2","numeric","0","record identification","number of adult women in household","1"
"orngday_","2026","4","numeric","0","calculated variables","computed orange-colored vegetable intake in times per day","1"
"pa1min_","2119","5","numeric","0","calculated variables","minutes of total physical activity per week","1"
"pa1vigm_","2134","5","numeric","0","calculated variables","minutes of total vigorous physical activity per week","1"
"padur1_","2077","3","numeric","0","calculated variables","minutes of first activity","1"
"padur2_","2080","3","numeric","0","calculated variables","minutes of second activity","1"
"pafreq1_","2083","5","numeric","0","calculated variables","physical activity frequency per week for first activity","1"
"pafreq2_","2088","5","numeric","0","calculated variables","physical activity frequency per week for second activity","1"
"painact2","305","2","integer","","module 3: healthy days (symptoms)","how many days hard to do usual activities in past 30 days","0"
"pamin11_","2109","5","numeric","0","calculated variables","minutes of physical activity per week for first activity","1"
"pamin21_","2114","5","numeric","0","calculated variables","minutes of physical activity per week for second activity","1"
"pamiss1_","2108","1","numeric","0","calculated variables","missing physical activity data","1"
"pavig11_","2124","5","numeric","0","calculated variables","minutes of vigorous physical activity per week for first activity","1"
"pavig21_","2129","5","numeric","0","calculated variables","minutes of vigorousphysical activity per week for second activity","1"
"pcdmdecn","398","4","numeric","0","module 18: prostate cancer screening decision making","who made the decision with you to have psa test?","1"
"pcpsaad2","391","1","categorical","7","module 17: prostate cancer screening","has a health professional ever talked with you about the advantages of the psa test?","0"
"pcpsade1","397","1","categorical","8","module 18: prostate cancer screening decision making","why was psa test done?","0"
"pcpsadi1","392","1","categorical","7","module 17: prostate cancer screening","has a health professional ever talked with you about the disadvantages of the psa test?","0"
"pcpsare1","393","1","categorical","7","module 17: prostate cancer screening","has a doctor ever recommended that you have a psa test?","0"
"pcpsars1","396","1","categorical","10","module 17: prostate cancer screening","what was the main reason you had this psa test?","0"
"pdiabtst","287","1","categorical","7","module 1: pre-diabetes","had a test for high blood sugar in past three years","0"
"persdoc2","98","1","categorical","8","health care access","multiple health care professionals","0"
"physhlth","91","2","integer","","healthy days  health related quality of life","number of days physical health not good","0"
"pneuvac3","262","1","categorical","7","immunization","pneumonia shot ever","0"
"poorhlth","95","2","integer","","healthy days  health related quality of life","poor physical or mental health","0"
"prediab1","288","1","categorical","8","module 1: pre-diabetes","ever been told you have pre-diabetes or borderline diabetes","0"
"pregnant","186","1","categorical","7","demographics","pregnancy status","0"
"profexam","384","1","categorical","7","module 15: clinical breast exam for breast cancer screening","ever had breast physical exam by doctor","0"
"psatest1","394","1","categorical","7","module 17: prostate cancer screening","ever had psa test","0"
"psatime","395","1","categorical","10","module 17: prostate cancer screening","time since last psa test","0"
"pvtresd1","64","1","categorical","6","record identification","private residence?","0"
"pvtresd2","78","1","categorical","5","record identification","do you live in a private residence?","0"
"qlactlm2","187","1","categorical","7","demographics","activity limitation due to health problems","0"
"qlhlth2","311","2","integer","","module 3: healthy days (symptoms)","how many days full of energy in past 30 days","0"
"qlmentl2","307","2","integer","","module 3: healthy days (symptoms)","how many days depressed in past 30 days","0"
"qlstres2","309","2","integer","","module 3: healthy days (symptoms)","how many days felt anxious in past 30 days","0"
"qstlang","684","2","integer","","questionnaire language","language identifier","0"
"qstver","682","2","numeric","0","questionnaire version","questionnaire version identifier","1"
"rcsgendr","618","1","categorical","6","module 21: sexual orientation and gender identity","gender of child","0"
"rcsrltn2","655","1","categorical","11","module 21: sexual orientation and gender identity","relationship to child","0"
"rduchart","366","1","categorical","7","module 9: cardiovascular health","take aspirin to reduce chance of heart attack","0"
"rducstrk","367","1","categorical","7","module 9: cardiovascular health","take aspirin to reduce chance of stroke","0"
"renthom1","159","1","categorical","8","demographics","own or rent home","0"
"rlivpain","365","1","categorical","7","module 9: cardiovascular health","take aspirin to relieve pain","0"
"scntlpad","607","1","categorical","9","module 20: social context","how were you generally paid for the work you did","0"
"scntlwk1","608","2","integer","","module 20: social context","how many hours per week did you work","0"
"scntmel1","603","1","categorical","11","module 20: social context","times past 12 months worried/stressed about having enough money to buy nutritious meals?","0"
"scntmny1","602","1","categorical","11","module 20: social context","times past 12 months worried/stressed about having enough money to pay your rent/mortgage?","0"
"scntpaid","604","1","categorical","9","module 20: social context","how are you generally paid for the work you do","0"
"scntwrk1","605","2","integer","","module 20: social context","how many hours per week do you work","0"
"seatbelt","252","1","categorical","11","seatbelt use","how often use seatbelts in car?","0"
"seqno","36","10","numeric","0","record identification","annual sequence number","1"
"sex","120","1","categorical","5","demographics","respondents sex","0"
"shingle2","376","1","categorical","7","module 13: shingles (zostavax or zos)","have you ever had the shingles or zoster vaccine?","0"
"smokday2","195","1","categorical","8","tobacco use","frequency of days now smoking","0"
"smoke100","194","1","categorical","7","tobacco use","smoked at least 100 cigarettes","0"
"stateres","66","1","numeric","0","record identification","resident of state","1"
"stopsmk2","196","1","categorical","7","tobacco use","stopped smoking in past 12 months","0"
"strehab1","362","1","categorical","7","module 9: cardiovascular health","outpatient rehab after hosp stay for stroke","0"
"strength","244","3","integer","","exercise (physical activity)","how many times did you do physical activities or exercises to strengthen your muscles?","0"
"strfreq_","2103","5","numeric","0","calculated variables","strength activity frequency per week","1"
"sxorient","610","1","categorical","9","module 21: sexual orientation and gender identity","sexual orientation or gender identity","0"
"tetanus","372","1","categorical","9","module 11: tetanus diphtheria (tdap) (adults)","received tetanus shot since 2005?","0"
"toldhi2","105","1","categorical","7","cholesterol awareness","ever told blood cholesterol high","0"
"trnsgndr","611","1","categorical","9","module 21: sexual orientation and gender identity","do you consider yourself to be transgender?","0"
"useequip","188","1","categorical","7","demographics","health problems requiring special equipment","0"
"usenow3","199","1","categorical","8","tobacco use","use of smokeless tobacco products","0"
"vegeda1_","2030","4","numeric","0","calculated variables","computed other vegetable intake in times per  day","1"
"vegetab1","224","3","integer","","fruits & vegetables","how many times did you eat other vegetables?","0"
"veteran3","171","1","categorical","7","demographics","are you a veteran","0"
"victrct4","331","1","categorical","9","module 5: visual impairment and access to eye care","hlth care pro said now have cataracts","0"
"vidfclt2","324","1","categorical","12","module 5: visual impairment and access to eye care","difficulty recognizing friend across street","0"
"vieyexm2","329","1","categorical","11","module 5: visual impairment and access to eye care","when last eyexam","0"
"vigluma2","332","1","categorical","8","module 5: visual impairment and access to eye care","hlth care pro ever said have glaucoma","0"
"viinsur2","330","1","categorical","8","module 5: visual impairment and access to eye care","eye care health insurance","0"
"vimacdg2","333","1","categorical","8","module 5: visual impairment and access to eye care","hlth care pro ever said have macular degeneration","0"
"vinocre2","327","2","categorical","13","module 5: visual impairment and access to eye care","reason did not use eye doc past 12 mos","0"
"viprfvs2","326","1","categorical","11","module 5: visual impairment and access to eye care","last time visited eye care provider","0"
"viredif3","325","1","categorical","12","module 5: visual impairment and access to eye care","difficulty reading typed text","0"
"weight2","178","4","integer","","demographics","reported weight in pounds","0"
"whrtst10","270","2","categorical","14","hiv/aids","location of last hiv test","0"
"wtchsalt","340","1","categorical","7","module 7: sodium or salt-related behavior","watching sodium or salt intake","0"
"wtkg3","1983","5","numeric","0","calculated variables","computed weight in kilograms","1"
