Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"_pacat","1667","1","numeric","0","calculated variables","physical activity categories","1"
"_paindex","1668","1","numeric","0","calculated variables","physical activity index","1"
"_parec","1673","1","categorical","7","calculated variables","aerobic and strengthening guideline","0"
"_pastaer","1674","1","categorical","5","calculated variables","aerobic and strengthening (2-level)","0"
"_pastrng","1672","1","categorical","5","calculated variables","muscle strengthening recommendation","0"
"_pneumo2","1678","1","categorical","6","calculated variables","pneumonia vaccination calculated variable","0"
"_prace","1508","2","categorical","13","calculated race variables","computed preferred race","0"
"_psu","33","10","numeric","0","record identification","primary sampling unit","1"
"_race_g","1515","1","categorical","8","calculated race variables","computed race groups used for internet prevalence tables","0"
"_raceg2","1513","1","categorical","5","calculated race variables","computed non-hispanic whites/all others race categories race/ethnic group codes used in post-stratification.","0"
"_racegr2","1514","1","categorical","8","calculated race variables","computed five level race/ethnicity category.","0"
"_raw","1011","10","numeric","0","questionnaire language","raw weighting factor","1"
"_rawrake","1031","10","numeric","0","questionnaire language","raw weighting factor used in raking","1"
"_region","1051","2","numeric","0","questionnaire language","region","1"
"_rfbing5","1683","1","categorical","5","calculated variables","binge drinking calculated variable","0"
"_rfbmi5","1538","1","categorical","5","calculated race variables","overweight or obese calculated variable","0"
"_rfchol","1489","1","categorical","6","calculated variables","high cholesterol calculated variable","0"
"_rfdrhv4","1692","1","categorical","5","calculated variables","heavy alcohol consumption  calculated variable","0"
"_rfdrmn4","1693","1","categorical","6","calculated variables","adult men heavy alcohol consumption calculated variable","0"
"_rfdrwm4","1694","1","categorical","6","calculated variables","adult women heavy alcohol consumption calculated variable","0"
"_rfhlth","1485","1","categorical","5","calculated variables","adults with good or better health","0"
"_rfhype5","1487","1","categorical","5","calculated variables","high blood pressure calculated variable","0"
"_rfseat2","1675","1","categorical","6","calculated variables","always or nearly always wear seat belts","0"
"_rfseat3","1676","1","categorical","6","calculated variables","always wear seat belts","0"
"_rfsmok3","1495","1","categorical","5","calculated variables","current smoking calculated variable","0"
"_smoker3","1494","1","categorical","7","calculated variables","computed smoking status","0"
"_state","1","2","categorical","56","record identification","state fips code","0"
"_strwt","1001","10","numeric","0","questionnaire language","stratum weight","1"
"_ststr","996","5","numeric","0","questionnaire language","sample design stratification variable","1"
"_totinda","1586","1","categorical","5","calculated variables","leisure time physical activity calculated variable","0"
"_veg23","1583","1","categorical","5","calculated variables","reported consuming vegetables >23/day","0"
"_vegesum","1576","6","numeric","0","calculated variables","total vegetables consumed per day","1"
"_vegetex","1585","1","categorical","6","calculated variables","vegetable exclusion from analyses","0"
"_vegresp","1569","1","categorical","5","calculated variables","missing any vegetable responses","0"
"_wt2","1021","10","numeric","0","questionnaire language","design weight","1"
"_wt2rake","1041","10","numeric","0","questionnaire language","design weight used in raking","1"
"acedeprs","477","1","categorical","7","module 31: adverse childhood experience","live with anyone depressed, mentally ill, or suicidal?","0"
"acedivrc","481","1","categorical","8","module 31: adverse childhood experience","were your parents divorced/seperated?","0"
"acedrink","478","1","categorical","7","module 31: adverse childhood experience","live with a problem drinker/alcoholic?","0"
"acedrugs","479","1","categorical","7","module 31: adverse childhood experience","live with anyone who used illegal drugs or abused prescriptions?","0"
"acehurt","483","1","categorical","8","module 31: adverse childhood experience","how often did a parent physically hurt you in any way?","0"
"acehvsex","487","1","categorical","8","module 31: adverse childhood experience","how often did anyone ever force you to have sex?","0"
"aceprisn","480","1","categorical","7","module 31: adverse childhood experience","live with anyone who served time in prison or jail?","0"
"acepunch","482","1","categorical","8","module 31: adverse childhood experience","how often did your parents beat each other up?","0"
"aceswear","484","1","categorical","8","module 31: adverse childhood experience","how often did a parent swear at you?","0"
"acetouch","485","1","categorical","8","module 31: adverse childhood experience","how often did anyone ever touch you sexually?","0"
"acetthem","486","1","categorical","8","module 31: adverse childhood experience","how often did anyone make you touch them sexually?","0"
"actint1_","1603","1","numeric","0","calculated variables","estimated activity intensity for first activity","1"
"actint2_","1604","1","numeric","0","calculated variables","estimated activity intensity for second activity","1"
"adanxev","452","1","categorical","7","module 26: anxiety and depression","ever told you had an anxiety disorder","0"
"addepev2","98","1","categorical","7","chronic health conditions","ever told you had a depressive disorder","0"
"addown","437","2","integer","","module 26: anxiety and depression","days felt down, depressed or hopeless","0"
"adeat1","443","2","integer","","module 26: anxiety and depression","days ate too little or too much","0"
"adenergy","441","2","integer","","module 26: anxiety and depression","days were tired or had little energy","0"
"adfail","445","2","integer","","module 26: anxiety and depression","days felt like failure or let family down","0"
"adltchld","516","1","categorical","6","asthma follow-up call back","which household member was selected to be the focus of the callback.","0"
"admove","449","2","integer","","module 26: anxiety and depression","days talked to move slower or faster than usual","0"
"adpleasr","435","2","integer","","module 26: anxiety and depression","days had little pleasure doing things","0"
"adsleep","439","2","integer","","module 26: anxiety and depression","days had trouble with sleep","0"
"adthink","447","2","integer","","module 26: anxiety and depression","days had trouble concentrating","0"
"age","108","2","integer","","demographics","reported age in years","0"
"alcday5","209","3","integer","","alcohol consumption","days in past 30 had alcoholic beverage","0"
"arthdis2","194","1","categorical","7","arthritis burden","does arthritis affect whether you work","0"
"arthedu","397","1","categorical","7","module 18: arthritis management","ever taken class in managing arthritis or joint symptoms","0"
"arthexer","396","1","categorical","7","module 18: arthritis management","dr. suggest use of physical activity or exercise for arthritis or joint symptoms","0"
"arthsocl","195","1","categorical","8","arthritis burden","social activities limited because of joint symptoms","0"
"arthwgt","395","1","categorical","7","module 18: arthritis management","dr. suggest lose weight for arthritis or joint symptoms","0"
"arttoday","394","1","categorical","9","module 18: arthritis management","what can you do because of arthritis or joint symptoms","0"
"asactlim","387","3","integer","","module 17: adult asthma history","activities limited due to asthma during past 12 months","0"
"asattack","380","1","categorical","7","module 17: adult asthma history","asthma during past 12 months","0"
"asdrvist","383","2","integer","","module 17: adult asthma history","urgent asthma treatment during past 12 months","0"
"aservist","381","2","integer","","module 17: adult asthma history","emergency asthma care during past 12 months","0"
"asinhalr","393","1","categorical","12","module 17: adult asthma history","times used asthma inhaler during an attack in past 30 days","0"
"asnoslep","391","1","categorical","11","module 17: adult asthma history","sleep difficulty due to asthma during past 30 days","0"
"aspunsaf","315","1","categorical","8","module 9: cardiovascular health","health makes taking aspirin unsafe","0"
"asrchkup","385","2","integer","","module 17: adult asthma history","routine asthma care during past 12 months","0"
"asthma3","92","1","categorical","7","chronic health conditions","ever told had asthma","0"
"asthmage","378","2","integer","","module 17: adult asthma history","age at asthma diagnosis","0"
"asthmed3","392","1","categorical","9","module 17: adult asthma history","days used prescribed preventative asthma med in past 30 days","0"
"asthnow","93","1","categorical","7","chronic health conditions","still have asthma","0"
"asymptom","390","1","categorical","11","module 17: adult asthma history","asthma symptoms during past 30 days","0"
"avedrnk2","212","2","integer","","alcohol consumption","avg alcoholic drinks per day in past 30","0"
"beanday_","1550","4","numeric","0","calculated variables","computed bean servings per day","1"
"bldstool","354","1","categorical","7","module 14: colorectal cancer screening","ever had blood stool test using home kit","0"
"bldsugar","250","3","integer","","module 2: diabetes","how often check blood for glucose","0"
"bloodcho","86","1","categorical","7","cholesterol awareness","ever had blood cholesterol checked","0"
"bpalcadv","322","1","categorical","8","module 10: actions to control high blood pressure","hlth care pro ever advised reduced alcohol use to reduce bp","0"
"bpalchol","318","1","categorical","8","module 10: actions to control high blood pressure","reduce alcohol use for bp?","0"
"bpeatadv","320","1","categorical","7","module 10: actions to control high blood pressure","hlth care pro ever advised change in eating habits to reduce bp","0"
"bpeathbt","316","1","categorical","7","module 10: actions to control high blood pressure","change eating habits for bp?","0"
"bpexer","319","1","categorical","7","module 10: actions to control high blood pressure","exercising to lower bp?","0"
"bpexradv","323","1","categorical","7","module 10: actions to control high blood pressure","hlth care pro ever advised exercise to reduce bp","0"
"bphi2mr","325","1","categorical","9","module 10: actions to control high blood pressure","told had high bp during 2+ visits to hlth care pro?","0"
"bphigh4","84","1","categorical","9","hypertension awareness","ever told blood pressure high","0"
"bpmedadv","324","1","categorical","7","module 10: actions to control high blood pressure","hlth care pro ever advised meds to reduce bp","0"
"bpmeds","85","1","categorical","7","hypertension awareness","currently taking blood pressure medication","0"
"bpsalt","317","1","categorical","8","module 10: actions to control high blood pressure","reduce salt intake to lower bp?","0"
"bpsltadv","321","1","categorical","8","module 10: actions to control high blood pressure","hlth care pro ever advised using less salt to reduce bp","0"
"cadult","533","1","categorical","8","cell phone introduction","are you 18 years of age or older?","0"
"callback","515","1","categorical","5","asthma follow-up call back","asthma follow-up call back request","0"
"casthdx2","504","1","categorical","7","module 33: childhood asthma","hlth pro ever said child has asthma","0"
"casthno2","505","1","categorical","7","module 33: childhood asthma","child still have asthma?","0"
"cellfon","61","1","categorical","5","record identification","cellular telephone","0"
"cellfon2","532","1","categorical","7","cell phone introduction","is this a cellular telephone?","0"
"chccopd","96","1","categorical","7","chronic health conditions","(ever told) you have (copd) chronic obstructive pulmonary disease, emphysema or chronic bronchitis?","0"
"chckidny","99","1","categorical","7","chronic health conditions","(ever told) you have kidney disease?","0"
"chcocncr","95","1","categorical","7","chronic health conditions","(ever told) you had any other types of cancer?","0"
"chcscncr","94","1","categorical","7","chronic health conditions","(ever told) you had skin cancer?","0"
"chcvison","100","1","categorical","8","chronic health conditions","ever told you have vision or eye problems?","0"
"checkup1","83","1","categorical","10","health care access","length of time since last routine checkup","0"
"childage","1272","3","integer","","questionnaire language","child age","0"
"children","120","2","integer","","demographics","number of children in household","0"
"chimrcve","513","2","categorical","16","module 34: child immunization (influenza)","at what did [he/she] get [his/her] last seasonal flu vaccine?","0"
"chkhemo3","258","2","integer","","module 2: diabetes","times checked for glycosylated hemoglobin","0"
"cholchk","87","1","categorical","9","cholesterol awareness","how long since cholesterol checked","0"
"ciassist","458","1","categorical","11","module 27: cognitive impairment","as a result of persons confusion or memory loss, in which areas do you; need the most assistance?","0"
"cidiagaz","463","1","categorical","8","module 27: cognitive impairment","has a health care professional ever said it was alzheimers disease or some other form of dementia?","0"
"cifamcar","460","1","categorical","10","module 27: cognitive impairment","how often has a family member or friend provided any care or assistance because of confusion or memory loss?","0"
"cihcprof","461","1","categorical","7","module 27: cognitive impairment","discussed with a health care professional, increases in confusion or memory loss?","0"
"cihowoft","457","1","categorical","10","module 27: cognitive impairment","given up household activities or chores you/they used to do, because of confusion or memory loss that is happening more often or is getting worse?","0"
"ciintfer","459","1","categorical","10","module 27: cognitive impairment","how often has confusion or memory loss interfered with ability to work, volunteer, or engage in social activities?","0"
"cimeds","462","1","categorical","7","module 27: cognitive impairment","received treatment such as therapy or medications for confusion or memory loss?","0"
"cimemlos","453","1","categorical","7","module 27: cognitive impairment","have you experienced confusion or memory loss that is happening more often or is getting worse?","0"
"cinoadlt","454","1","integer","","module 27: cognitive impairment","how many adults in your household experienced confusion or memory loss that is happening more often or is getting worse during the past 12 months?","0"
"cirbiage","455","2","categorical","13","module 27: cognitive impairment","of these people, how old is this person?","0"
"copddoc","407","1","categorical","7","module 22: chronic obstructive pulmonary disease (copd)","have you seen doctor about shortness of breath?","0"
"copdhosp","408","1","categorical","7","module 22: chronic obstructive pulmonary disease (copd)","been to e.r. or hospital because of copd?","0"
"copdmeds","409","2","integer","","module 22: chronic obstructive pulmonary disease (copd)","how many medications do you take for copd?","0"
"copdqol","406","1","categorical","7","module 22: chronic obstructive pulmonary disease (copd)","does shortness of breath affect quality of life?","0"
"copdtest","405","1","categorical","7","module 22: chronic obstructive pulmonary disease (copd)","ever had a breathing test to diagnose your copd?","0"
"cpdemo1","144","1","categorical","7","demographics","do you have a cell phone for personal use?","0"
"cpdemo2","145","1","categorical","7","demographics","do you share a cell phone for personal use?","0"
"cpdemo3","146","1","categorical","7","demographics","do you usually share this cell phone?","0"
"cpdemo4","147","3","integer","","demographics","what percent of all calls are received on your cell phone?","0"
"cstate","535","1","categorical","7","cell phone introduction","are you a resident of [state]?","0"
"ctelenum","60","1","categorical","5","record identification","correct telephone number?","0"
"ctelnum1","531","1","categorical","7","cell phone introduction","correct phone number?","0"
"ctycode1","134","3","numeric","0","demographics","county code","1"
"cvdasprn","314","1","categorical","7","module 9: cardiovascular health","take aspirin daily or every other day","0"
"cvdcrhd4","90","1","categorical","7","chronic health conditions","ever diagnosed with angina or coronary heart disease","0"
"cvdinfr4","89","1","categorical","7","chronic health conditions","ever diagnosed with heart attack","0"
"cvdstrk3","91","1","categorical","7","chronic health conditions","ever diagnosed with a stroke","0"
"diabage2","247","2","integer","","module 2: diabetes","age when told diabetic","0"
"diabedu","264","1","categorical","7","module 2: diabetes","ever taken class in managing diabetes","0"
"diabete3","101","1","categorical","9","chronic health conditions","(ever told) you have diabetes","0"
"diabeye","263","1","categorical","7","module 2: diabetes","ever told diabetes has affected eyes","0"
"dircont1","309","1","categorical","7","module 8: high risk/health care worker","do you provide direct patient care as part of your routine work?","0"
"dispcode","30","3","numeric","0","record identification","final disposition","1"
"doctdiab","256","2","integer","","module 2: diabetes","times seen health professional for diabetes","0"
"drhpad1","310","1","categorical","7","module 8: high risk/health care worker","has a doctor, nurse, or other health professional ever said that you haveproblem caused by a chronic illness or by medicines; taken for a chronic illness?","0"
"drnk3ge5","214","2","integer","","alcohol consumption","binge drinking","0"
"drnkany5","1679","1","numeric","0","calculated variables","drink any alcoholic beverages in past 30 days","1"
"drocdy3_","1680","3","integer","","calculated variables","computed drink-occasions-per-day","0"
"educa","122","1","categorical","10","demographics","education level","0"
"employ","123","1","categorical","12","demographics","employment status","0"
"emtsuprt","475","1","categorical","10","module 30: emotional support and life satisfaction","how often get emotional support needed","0"
"exerany2","171","1","categorical","7","exercise (physical activity)","exercise in past 30 days","0"
"exerhmm1","177","3","integer","","exercise (physical activity)","minutes or hours walking, running, jogging, or swimming","0"
"exerhmm2","185","3","integer","","exercise (physical activity)","minutes or hours walking, running, jogging, or swimming","0"
"exeroft1","174","3","integer","","exercise (physical activity)","how many times walking, running, jogging, or swimming","0"
"exeroft2","182","3","integer","","exercise (physical activity)","how many times walking, running, jogging, or swimming","0"
"exract01","172","2","categorical","74","exercise (physical activity)","type of physical activity","0"
"exract02","180","2","categorical","75","exercise (physical activity)","other type of physical activity giving most exercise during past month","0"
"eyeexam","262","1","categorical","10","module 2: diabetes","last eye exam where pupils were dilated","0"
"fc60_","1598","5","numeric","0","calculated variables","estimated functional capacity","1"
"feetchk","260","2","integer","","module 2: diabetes","times feet check for sores/irritations","0"
"feetchk2","253","3","integer","","module 2: diabetes","how often check feet for sores or irritations","0"
"firstaid","338","1","categorical","10","module 11: heart attack and stroke","first aid for heart attack and stroke","0"
"flshtmy2","200","6","integer","","immunization","when received most recent seasonal flu shot/spray","0"
"flushch2","506","1","categorical","7","module 34: child immunization (influenza)","had seasonal flu shot past 12 mos","0"
"flushot5","199","1","categorical","7","immunization","seasonal flu shot/spray past 12 mos","0"
"fmonth","15","2","categorical","14","record identification","file month","0"
"fpchldf2","288","1","categorical","10","module 5: preconception health /family planning","how do you feel about having a child now or sometime in the future?","0"
"fruit1","156","3","integer","","fruits & vegetables","how many times did you eat fruit?","0"
"fruitju1","153","3","integer","","fruits & vegetables","how many times did you drink 100% pure fruit juices?","0"
"frutda1_","1546","4","numeric","0","calculated variables","computed fruit servings per day","1"
"ftjuda1_","1542","4","numeric","0","calculated variables","computed fruit juice servings per day","1"
"fvbeans","159","3","integer","","fruits & vegetables","how many times did you eat beans or lentils?","0"
"fvgreen","162","3","integer","","fruits & vegetables","how many times did you eat dark green vegetables?","0"
"fvorang","165","3","integer","","fruits & vegetables","how many times did you eat orange-colored vegetables?","0"
"genhlth","73","1","categorical","10","health status","general health","0"
"gp3dyfd1","413","1","categorical","7","module 23: general preparedness","does your household have a 3-day supply of non-perishable food for everyone who lives there?","0"
"gp3dyprs","414","1","categorical","8","module 23: general preparedness","does your household have a 3-day supply of prescription medication for each person who takes prescribed medicines?","0"
"gp3dywtr","412","1","categorical","7","module 23: general preparedness","does your household have a 3-day supply of water for everyone who lives there?","0"
"gpbatrad","415","1","categorical","7","module 23: general preparedness","does your household have a working battery operated radio and working batteries for your use if the electricity is out?","0"
"gpemrcm1","417","1","categorical","11","module 23: general preparedness","in a large-scale disaster or emergency, what would be your main method of communicating with relatives and friends?","0"
"gpemrin1","418","1","categorical","11","module 23: general preparedness","what would be your main method of getting information from authorities in a large-scale disaster or emergency?","0"
"gpflslit","416","1","categorical","7","module 23: general preparedness","does your household have a working flashlight and working batteries for your use if the electricity is out?","0"
"gpmndevc","420","1","categorical","7","module 23: general preparedness","if public authorities announced mandatory evacuation from your community due to a large-scale disaster or emergency, would you evacuate?","0"
"gpnotev1","421","2","categorical","14","module 23: general preparedness","what would be the main reason why you might not evacuate if asked to do so?","0"
"gpvacpl1","419","1","categorical","7","module 23: general preparedness","does your household have a disaster evacuation plan?","0"
"gpwelpr3","411","1","categorical","8","module 23: general preparedness","household prepared to handle large-scale disaster or emergency","0"
"grenday_","1554","4","numeric","0","calculated variables","computed dark green vegetable servings per day","1"
"hadhyst2","345","1","categorical","7","module 12: breast/cervical cancer screening","had hysterectomy","0"
"hadmam","339","1","categorical","7","module 12: breast/cervical cancer screening","have you ever had a mammogram","0"
"hadpap2","343","1","categorical","7","module 12: breast/cervical cancer screening","ever had a pap test","0"
"hadsgco1","357","1","categorical","7","module 14: colorectal cancer screening","was last test a sigmoidoscopy or colonoscopy","0"
"hadsigm3","356","1","categorical","7","module 14: colorectal cancer screening","ever had sigmoidoscopy/colonoscopy","0"
"harehab1","312","1","categorical","7","module 9: cardiovascular health","outpatient rehab after heart attack hosp stay","0"
"hasymp1","326","1","categorical","7","module 11: heart attack and stroke","heart attack symptoms - jaw/back/neck pain","0"
"hasymp2","327","1","categorical","7","module 11: heart attack and stroke","heart attack symptoms - weak/light-headed/faint","0"
"hasymp3","328","1","categorical","7","module 11: heart attack and stroke","heart attack symptoms - chest pain/discomfort","0"
"hasymp4","329","1","categorical","7","module 11: heart attack and stroke","heart attack symptoms - vision problems","0"
"hasymp5","330","1","categorical","7","module 11: heart attack and stroke","heart attack symptoms - pain or discomfort in arms/shoulder","0"
"hasymp6","331","1","categorical","7","module 11: heart attack and stroke","heart attack symptoms - shortness of breath","0"
"havarth3","97","1","categorical","7","chronic health conditions","told have arthritis","0"
"height3","130","4","integer","","demographics","reported height in feet and inches","0"
"hispanc2","110","1","categorical","7","demographics","hispanic/latino","0"
"hivrdts2","474","1","categorical","7","module 29: hiv/aids","was your last hiv test a rapid test?","0"
"hivrisk3","225","1","categorical","5","hiv/aids","do any high risk situations apply","0"
"hivtst6","218","1","categorical","7","hiv/aids","ever tested hiv","0"
"hivtstd3","219","6","integer","","hiv/aids","month and year of last hiv test","0"
"hlthpln1","80","1","categorical","7","health care access","have any health care coverage","0"
"howlong","340","1","categorical","10","module 12: breast/cervical cancer screening","how long since last mammogram","0"
"hpvadsht","402","2","integer","","module 20: adult human papilloma virus (hpv)","number of hpv shots received","0"
"hpvadvc2","401","1","categorical","8","module 20: adult human papilloma virus (hpv)","ever had the hpv vaccination?","0"
"htin4","1522","3","integer","","calculated race variables","computed height in inches","0"
"htm4","1525","3","integer","","calculated race variables","computed height in meters","0"
"idate","17","8","numeric","0","record identification","interview date","1"
"iday","19","2","numeric","0","record identification","interview day","1"
"imfvplac","206","2","categorical","16","immunization","where did you get your last flu shot/vaccine?","0"
"imonth","17","2","categorical","12","record identification","interview month","0"
"income2","124","2","categorical","13","demographics","income level","0"
"insulin","249","1","categorical","6","module 2: diabetes","now taking insulin","0"
"intvid","25","5","numeric","0","record identification","interviewer identification","1"
"iyear","21","4","numeric","0","record identification","interview year","1"
"joinpain","196","2","integer","","arthritis burden","how bad was joint pain","0"
"landline","538","1","categorical","7","cell phone introduction","do you also have a landline telephone?","0"
"lastpap2","344","1","categorical","10","module 12: breast/cervical cancer screening","how long since last pap test","0"
"lastsig3","358","1","categorical","11","module 14: colorectal cancer screening","time since last sigmoidoscopy/colonoscopy","0"
"lastsmk2","105","2","categorical","13","tobacco use","interval since last smoked","0"
"lengexam","342","1","categorical","10","module 12: breast/cervical cancer screening","how long since last breast physical exam","0"
"lmtjoin3","193","1","categorical","7","arthritis burden","limited because of joint symptoms","0"
"lsatisfy","476","1","categorical","9","module 30: emotional support and life satisfaction","satisfaction with life","0"
"lstblds3","355","1","categorical","10","module 14: colorectal cancer screening","time since last blood stool test","0"
"marital","119","1","categorical","10","demographics","marital status","0"
"maxdrnks","216","2","integer","","alcohol consumption","most drinks on single occasion past 30 days","0"
"maxvo2_","1593","5","numeric","0","calculated variables","estimated age-gender specific maximum oxygen consumption","1"
"medcost","82","1","categorical","7","health care access","could not see dr. because of cost","0"
"menthlth","76","2","integer","","healthy days - health-related quality of life","number of days mental health not good","0"
"metval1_","1587","3","numeric","0","calculated variables","activity met value for first activity","1"
"metval2_","1590","3","numeric","0","calculated variables","activity met value for second activity","1"
"mistmnt","451","1","categorical","7","module 26: anxiety and depression","receiving medicine or treatment from health pro for emotional problem","0"
"mrace","111","6","numeric","0","demographics","multiple race","1"
"mraceasc","1502","6","numeric","0","calculated race variables","mraceorg with responses in ascending order calculated variable","1"
"mraceorg","1496","6","numeric","0","calculated race variables","mrace with trailing 7,8,9s removed calculated variable","1"
"mscode","995","1","categorical","8","questionnaire language","metropolitan status code","0"
"nattmpts","43","2","numeric","0","record identification","number of attempts","1"
"nobcuse4","286","2","categorical","23","module 5: preconception health /family planning","what was main reason for not doing anything to keep you from getting pregnant?","0"
"nrecsel","45","6","numeric","0","record identification","number of sample records selected from stratum","1"
"nrecstr","51","9","numeric","0","record identification","number of telephone numbers in stratum from which sample was selected","1"
"numadult","63","2","numeric","0","record identification","number of adults in household","1"
"numhhol2","142","1","categorical","7","demographics","household telephones","0"
"nummen","65","2","numeric","0","record identification","number of adult men in household","1"
"numphon2","143","1","categorical","11","demographics","residential phones","0"
"numwomen","67","2","numeric","0","record identification","number of adult women in household","1"
"o_state","1064","2","numeric","0","questionnaire language","original state that collected the cell phone data","1"
"orace2","117","1","categorical","12","demographics","respondent race choice","0"
"orgseqno","1427","12","numeric","0","weighting variables","original state and original sequence number","1"
"orngday_","1558","4","numeric","0","calculated variables","computed orange-colored vegetable servings per day","1"
"padur1_","1605","3","numeric","0","calculated variables","minutes of first activity","1"
"padur2_","1608","3","numeric","0","calculated variables","minutes of second activity","1"
"pafreq1_","1611","5","numeric","0","calculated variables","physical activity frequency per week for first activity","1"
"pafreq2_","1616","5","numeric","0","calculated variables","physical activity frequency per week for second activity","1"
"painact2","265","2","integer","","module 3: healthy days (symptoms)","how many days hard to do usual activities in past 30 days","0"
"pamin1_","1637","5","numeric","0","calculated variables","minutes of physical activity per week for first activity","1"
"pamin2_","1642","5","numeric","0","calculated variables","minutes of physical activity per week for second activity","1"
"pamin_","1647","5","numeric","0","calculated variables","minutes of total physical activity per week","1"
"pamiss_","1636","1","numeric","0","calculated variables","missing physical activity data","1"
